,mun_name,year,TOTAL_TAX_SUM,5yr_growth,10yr_growth,15yr_growth,20yr_growth
4474,HIRSINGUE,2022,1941347.0,12.894872430079914,85.9426257378668,93.37242589711357,189.8333121832148
4475,GER,2022,1939605.0,32.83091563793054,72.45486141674735,157.4332395413039,246.48301708830687
4476,BUHL,2022,1939545.0,8.111249161801913,21.887755262355814,84.26510378269097,117.47361953146986
4477,WALLERS,2022,1939180.0,-1.958871039094,8.80284218936558,48.45590334955555,43.7692669263516
4478,HATTEN,2022,1938495.0,70.03044504498341,27.327334231009225,64.12276431368399,280.8640143976203
4479,PERIERS,2022,1938188.0,20.594977065533094,61.8588073382237,80.2368703945484,156.5301638563147
4480,MARENNES,2022,1938144.0,-59.66518346295497,-53.75960407037943,-44.635403514505136,-18.305879179241625
4481,SOUES,2022,1937947.0,15.763294027693153,31.588750144289858,104.04682886973076,103.98862348122736
4482,DONZENAC,2022,1937451.0,31.091671087246,53.136633738493714,55.232157064463635,149.04345612932335
4483,VALLIERES-SUR-FIER,2022,1937120.0,71.80512811416307,71.80512811416307,71.80512811416307,71.80512811416307
4484,AIGUEPERSE,2022,1936784.0,22.587860739343572,40.70035473229444,41.38038265287501,84.34220470072698
4485,JONQUIERES SAINT VINCENT,2022,1936673.0,33.1515282353653,43.44610234018836,43.44610234018836,52.317512550423885
4486,LA ROQUEBRUSSANNE,2022,1936651.0,15.634693315802892,50.615792854687506,94.03590260988749,190.98067792535608
4487,SEYSSUEL,2022,1936564.0,34.725555754987774,55.00646739408842,28.096912546401764,118.50574764520307
4488,ST DIDIER EN VELAY,2022,1936318.0,25.17692235586169,33.49212794663398,33.49212794663398,89.12957057252113
4489,NEUILLY-CRIMOLOIS,2022,1936247.0,134.8440596641285,134.8440596641285,134.8440596641285,134.8440596641285
4490,SOUCHEZ,2022,1936194.0,7.3693701886871965,29.929163490342187,100.96757854180247,187.1562367911726
4491,ILE TUDY,2022,1935164.0,85.15445452475309,96.0154003389209,96.0154003389209,343.70146351753215
4492,BORDES,2022,1935027.0,23.006308514587644,50.614123438032685,246.20264827911953,142.0823293624879
4493,LALOUBERE,2022,1934732.0,77.24581399162477,86.617255275682,150.86414246389194,229.314964034165
4494,SAINTE CONSORCE,2022,1933728.0,25.77035421627349,43.16731535370781,43.16731535370781,187.78669238359296
4495,SAINT DENIS LANNERAY,2022,1933572.0,105.18487705283353,105.18487705283353,105.18487705283353,105.18487705283353
4496,LA QUEUE-LES-YVELINES,2022,1932642.0,49.568276674403144,95.42264309296176,200.87336380506395,223.73918505800074
4497,ST PIERRE DE CHARTREUSE,2022,1932341.0,46.864219412297174,92.54613266797732,92.54613266797732,178.45375918288534
4498,DROCOURT,2022,1930853.0,10.044003854967945,6.047997100072224,103.92729876620402,-22.07468243318233
4499,ALBIAS,2022,1930140.0,22.838704750267297,40.701576107835194,107.31856644776275,203.6319932545101
4500,LA LOUPE,2022,1930124.0,19.398911498304397,28.12901829604664,20.89539524617231,32.888838398964495
4501,SAINT-GEORGES-DE-MONS,2022,1928085.0,53.377334565813314,78.42495100007957,136.76135065904674,149.24312543305376
4502,ECHENEVEX,2022,1928015.0,41.35660224775778,78.28796796759771,217.85060148801722,387.4621069424885
4503,VINASSAN,2022,1927259.0,22.991148635281654,46.24666303438877,134.36906403605417,179.07709862536436
4504,CHARLY SUR MARNE,2022,1927092.0,27.940652180696425,38.96713479601219,38.96713479601219,131.4994852475677
4505,FLEURINES,2022,1926952.0,51.33966823821944,100.9196447376927,317.09188587804687,346.38332472358064
4506,LEVIGNAC,2022,1926246.0,22.226212714978985,90.75331002861925,199.72552009585013,203.6820290810141
4507,SEURRE,2022,1925758.0,36.29950590528471,67.61258697192353,111.42311344835348,117.19091518113925
4508,LOUE,2022,1925709.0,17.070070276973954,84.39324402091638,180.41066129253028,153.31476814118318
4509,LANDRY,2022,1925621.0,61.195947710667475,115.27898425560412,142.1634761699955,214.2906340584441
4510,LA GRANDE PAROISSE,2022,1925313.0,16.87710230759845,5.282748958690484,5.282748958690484,66.79499852291303
4511,SANTEC,2022,1925185.0,28.650998369463526,48.66568955718098,146.0617920012679,225.43159916088976
4512,ARCISSES,2022,1923572.0,99.98378149093843,99.98378149093843,99.98378149093843,99.98378149093843
4513,BOZEL,2022,1923034.0,28.554162260160144,53.59144439696656,57.19461215387961,105.30823983592714
4514,VILLELONGUE LA SALANQUE,2022,1922754.0,19.059735013303825,32.68717979860437,32.68717979860437,280.2599467607517
4515,SAINTE MARIE DES CHAMPS,2022,1922222.0,91.56761346479081,140.53030682216328,140.53030682216328,400.9883081478083
4516,CORBIGNY,2022,1921004.0,62.228051122419856,72.05203645238575,124.54620370424485,178.7109392002275
4517,REPLONGES,2022,1919997.0,27.083191302200994,44.501157892597845,69.57119616768497,124.20285251866608
4518,LAGUIOLE,2022,1919718.0,50.514529529878786,79.19183810626144,115.73282958311373,164.23107098123958
4519,SEMECOURT,2022,1918445.0,92.22433528652617,107.13790586589043,142.6635954959536,290.4579795331873
4520,GONCELIN,2022,1917195.0,27.550840505813717,53.93036503558826,35.54924737872864,71.53605335418636
4521,LA FORCE,2022,1916247.0,30.72751125128169,50.231668767757355,125.46841025254855,206.04374455987923
4522,LAPALUD,2022,1915092.0,14.237345764622722,19.276676208342362,53.64247549058935,100.41420434150614
4523,ST GERMAIN AU MONT D'OR,2022,1915056.0,-13.634600710385373,9.327566639340331,9.327566639340331,180.1714628472781
4524,GOVEN,2022,1913341.0,4.416471614204876,18.269396000202747,94.81426197593817,186.901164944017
4525,PIPRIAC,2022,1913279.0,11.307365402012316,27.489293593747604,85.39022197072173,148.53750576437196
4526,FONTANES,2022,1912815.0,44.43523231554411,77.2191596794367,91.06368739636814,344.2765697509674
4527,AIX-VILLEMAUR-PALIS,2022,1912111.0,23.035440128587737,23.035440128587737,23.035440128587737,23.035440128587737
4528,THILLOIS,2022,1911585.0,110.07259627853409,190.394837384603,352.23421922980475,862.7580545244847
4529,DUPPIGHEIM,2022,1910445.0,10.047660851052063,25.78780129366651,13.846668168377544,31.420656578754574
4530,NEUVILLE SUR SARTHE,2022,1910110.0,30.447045647007403,93.05135982195829,93.05135982195829,134.69847897112146
4531,OPPEDE,2022,1909921.0,61.532456680446835,87.34781039224995,176.26842830031475,240.29772828507797
4532,PLESLIN-TRIGAVOU,2022,1909577.0,16.219922194523427,42.46810917115926,116.72205084903497,182.97240185647306
4533,BRAS,2022,1909261.0,28.87550734840973,83.25346084776493,180.95423088072775,340.565480448397
4534,MARGENCEL,2022,1907642.0,56.235652164654795,94.12093928206548,104.74896372000369,209.35671566274436
4535,SAINT-JULIEN-EN-BORN,2022,1906594.0,76.69796378727597,127.51636927314102,244.13252735867616,299.47158789722573
4536,HONDSCHOOTE,2022,1906291.0,-0.7368099306357238,19.5443334539464,43.329827075578024,55.82560659304908
4537,PLEYBER CHRIST,2022,1906184.0,2.402960266544325,7.063425867419296,7.063425867419296,75.57512342495026
4538,PRECIGNE,2022,1904460.0,21.077302281285423,45.33602363887227,82.9146713229489,113.85955830251797
