,mun_name,year,TH - INTERCOMMUNALITY / ACTUAL AMOUNT OF WHICH THP/E FOR THE BENEFIT OF THE STATE,yr_growth
51269,SAINT-BARTHELEMY,2011,218884.0,4185.960446446054
37103,MARLES-EN-BRIE,2011,32779.0,4184.83660130719
31611,LE BROUILH-MONBERT,2011,17840.0,4178.177458033573
23861,GRAMMOND,2011,61330.0,4176.847977684797
13333,CHELAN,2011,13997.0,4167.378048780488
16375,CREVECOEUR-EN-BRIE,2011,7663.0,4133.701657458563
46575,PONSAN-SOUBIRAN,2011,8810.0,4115.3110047846885
67115,VIRICELLES,2011,37306.0,4101.126126126126
48907,REUGNY,2011,117271.0,4065.9325044404973
51589,SAINT-CASSIEN,2011,139998.0,4062.8902765388048
18005,DONVILLE-LES-BAINS,2011,603427.0,4031.646696336871
59381,SEISSAN,2011,97148.0,4000.8020261713805
4603,BAZANCOURT,2011,107088.0,3993.577981651376
25105,HAULIES,2011,8498.0,3985.5769230769233
62769,TRAVERSERES,2011,3306.0,3981.4814814814818
52083,SAINT-DENIS-SUR-COISE,2011,35995.0,3981.0657596371884
7559,BOST,2011,18359.0,3979.7777777777774
61159,TACHOIRES,2011,6206.0,3929.8701298701294
59703,SERE,2011,5103.0,3918.1102362204724
21253,FONTAINE-NOTRE-DAME,2011,154455.0,3912.8604832424003
64165,VARIZE,2011,49469.0,3908.833063209076
30929,LARMOR-PLAGE,2011,1706759.0,3896.812870290144
49019,RIANTEC,2011,649962.0,3890.43467583497
52499,SAINT-FIEL,2011,103182.0,3890.0232018561483
18077,DOUCHY,2011,75981.0,3886.411332633788
20171,FAGET-ABBATIAL,2011,15254.0,3882.767624020888
24031,GRANVILLE,2011,1958125.0,3876.29200934105
43957,ORNEZAN,2011,19195.0,3874.1200828157353
19379,ESCLASSAN-LABASTIDE,2011,30609.0,3870.038910505836
18389,DURBAN,2011,10256.0,3859.8455598455603
35385,LOURTIES-MONBRUN,2011,9568.0,3853.719008264463
4269,BARRAN,2011,65349.0,3850.9673518742447
16693,CUELAS,2011,6202.0,3850.3184713375795
39553,MONLAUR-BERNET,2011,10112.0,3850.0
14289,CLERY,2011,25494.0,3846.439628482972
56995,SAINT-SILVAIN-MONTAIGUT,2011,19352.0,3841.3441955193484
56589,SAINT-REMY,2011,1185412.0,3821.569405848882
47605,PRUNET,2011,70645.0,3796.5802537231107
29325,LA SAUNIERE,2011,60997.0,3792.5973197192084
31049,LASSERAN,2011,23220.0,3789.4472361809044
42757,NOAILHAC,2011,92041.0,3786.866554054054
35991,MAGNET,2011,74167.0,3785.1231011000523
57707,SAINTE-FEYRE,2011,304756.0,3781.253183902191
67303,VIX,2011,129459.0,3779.502547198082
66465,VILLEPINTE,2011,2912719.0,3774.584635849684
46075,PLOEMEUR,2011,2770030.0,3768.973126990335
7591,BOUCAGNERES,2011,11829.0,3753.0944625407164
23403,GLENIC,2011,68399.0,3749.127743387732
57293,SAINT-VAURY,2011,169694.0,3742.7083333333335
53781,SAINT-JEAN-LE-COMTAL,2011,27046.0,3741.7613636363635
6669,BLACY,2011,49500.0,3740.1861908456167
16361,CREUZIER-LE-NEUF,2011,128448.0,3737.705407827906
58589,SARRAZAC,2011,81725.0,3727.8688524590166
28089,LA CHAPELLE-TAILLEFERT,2011,37048.0,3719.381443298969
62865,TREGUEUX,2011,1142969.0,3717.1492502421265
43765,ORBESSAN,2011,17251.0,3716.5929203539827
39587,MONNIERES,2011,164687.0,3708.672525439408
40109,MONTCORBON,2011,33352.0,3707.3059360730595
13915,CHUELLES,2011,91474.0,3697.1772519717724
34699,LIVERDY-EN-BRIE,2011,31570.0,3694.471153846154
54385,SAINT-LEGER-LE-GUERETOIS,2011,45455.0,3694.24040066778
9607,BUSSIERE-DUNOISE,2011,124568.0,3692.0243531202436
57095,SAINT-SULPICE-LE-GUERETOIS,2011,222382.0,3689.740967961827
497,AJAIN,2011,96947.0,3682.559500585252
39443,MONCORNEIL-GRAZAN,2011,9303.0,3681.707317073171
37081,MARIOL,2011,77613.0,3678.6270691333984
52503,SAINT-FIRMIN-DES-BOIS,2011,38443.0,3665.230166503428
49063,RICAUD,2011,33169.0,3660.657596371882
65485,VICHY,2011,4881273.0,3659.2497323773364
30555,LANESTER,2011,2535632.0,3644.785928431126
68113,YQUELON,2011,80792.0,3640.3703703703704
51535,SAINT-BRIEUC,2011,7676341.0,3640.1049482567087
24749,GY-LES-NONAINS,2011,42524.0,3640.017590149516
24467,GUERET,2011,2096227.0,3634.1272244687107
19551,ESPINASSE-VOZELLE,2011,103349.0,3629.6643810898595
27647,LA BRIONNE,2011,42679.0,3624.171029668412
39523,MONFERRAN-PLAVES,2011,7038.0,3623.809523809524
52975,SAINT-GERMAIN-DES-FOSSES,2011,327701.0,3601.999548124718
29353,LA SELLE-EN-HERMOY,2011,61091.0,3600.2422774076317
57333,SAINT-VICTOR-EN-MARCHE,2011,35050.0,3597.2573839662446
49245,RIOM-ES-MONTAGNES,2011,258875.0,3597.157954870037
63123,TRIGUERES,2011,94193.0,3595.292271479011
56629,SAINT-REMY-EN-ROLLAT,2011,189453.0,3595.201872440023
24233,GRIGNON,2011,134091.0,3594.9848443097276
58413,SANSAN,2011,6713.0,3588.4615384615386
87,ABREST,2011,409120.0,3572.20177721928
9599,BUSSET,2011,80983.0,3569.3701857725423
55803,SAINT-PAIR-SUR-MER,2011,727483.0,3563.056394763343
12709,CHATEAU-RENARD,2011,164822.0,3562.711111111111
10585,CASSAGNOLES,2011,37857.0,3561.2185686653775
16889,CUSSET,2011,1927273.0,3557.4115191194605
33429,LES CHAPELLES-BOURBON,2011,9269.0,3549.212598425197
14481,COINCY,2011,70283.0,3547.2755578619617
24291,GROIX,2011,389381.0,3541.1165139330465
64701,VENDAT,2011,272607.0,3540.0988115903324
8265,BOUXWILLER,2011,328437.0,3512.373515178179
38045,MELLEROY,2011,34454.0,3511.5303983228514
5335,BELLERIVE-SUR-ALLIER,2011,1549111.0,3509.298695246971
26979,JULLOUVILLE,2011,623659.0,3480.1320321469575
5217,BELESTA,2011,146136.0,3473.0073349633253
3793,BAILLY,2011,643686.0,3467.3132343161164
59949,SEUILLET,2011,40139.0,3464.7424511545296
1111,ANCTOVILLE-SUR-BOSCQ,2011,27574.0,3462.532299741602
63151,TRIZAC,2011,59302.0,3457.408518296341
56365,SAINT-PLANCHERS,2011,95664.0,3452.3208317861117
23579,GORGES,2011,290745.0,3451.30084279956
55861,SAINT-PARDOUX-L'ORTIGIER,2011,31275.0,3449.94324631101
22703,GAVRES,2011,150111.0,3438.6845827439884
23045,GESTEL,2011,270219.0,3438.287285583344
68087,YFFINIAC,2011,597847.0,3437.9749082731687
42335,NEUFMOUTIERS-EN-BRIE,2011,19096.0,3429.759704251386
51469,SAINT-BONNET-L'ENFANTIER,2011,25310.0,3425.0696378830085
46693,PONT-SCORFF,2011,341641.0,3424.9793644242673
62841,TREFUMEL,2011,27759.0,3422.715736040609
51135,SAINT-AUBIN-DES-PREAUX,2011,30607.0,3422.0943613348672
50521,SADROC,2011,51501.0,3408.2425068119887
24545,GUIDEL,2011,1442646.0,3406.0782074027265
47115,POUY-LOUBRIN,2011,5188.0,3405.4054054054054
13699,CHEYLADE,2011,41201.0,3403.486394557823
19717,ESTIVAUX,2011,22629.0,3402.9411764705883
43855,ORGNAC-SUR-VEZERE,2011,24251.0,3399.422799422799
38119,MENET,2011,60334.0,3391.550925925926
22617,GARTEMPE,2011,12083.0,3382.1325648414986
50857,SAINT-ANDRE,2011,568425.0,3375.3301540719
65713,VIGEOIS,2011,81498.0,3366.5248830284986
34807,LOCMIQUELIC,2011,501609.0,3359.6110076557
10889,CAUDAN,2011,800160.0,3357.0120107145945
48013,QUEVEN,2011,1094151.0,3352.560663910889
35159,LORIENT,2011,7500379.0,3347.1980292215703
18011,DONZENAC,2011,194113.0,3339.280652019844
50053,ROUMEGOUX,2011,39102.0,3336.0281195079087
26269,INZINZAC-LOCHRIST,2011,522237.0,3331.705874622158
30637,LANGUEUX,2011,1085931.0,3330.9532084294333
31767,LE CLAUX,2011,38550.0,3329.715302491103
30641,LANGUIDIC,2011,673043.0,3328.6449312277127
63807,VALETTE,2011,25757.0,3325.132978723404
57315,SAINT-VICTOR,2011,374343.0,3323.660142674227
8425,BRANDERION,2011,94817.0,3318.060562364816
25389,HENNEBONT,2011,1665725.0,3315.6806857095985
